ANO,MES,NCM,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
2022,12,27090010,160,RJ,912565,794227247,439862173
2022,10,27090010,190,RJ,72934,63715058,36151965
2022,1,27090010,160,RJ,157876,138705557,74034262
2022,6,27090010,158,RJ,311674,273392475,187569895
2022,8,27090010,589,RJ,153111,134145131,94374167
2022,9,27090010,361,RJ,100485,97477460,39018203
2022,6,27090010,383,RJ,152131,133497901,97217823
2022,11,27090010,160,RJ,1739516,1526958314,855951368
2022,7,27090010,245,RJ,308660,269594295,186124320
2022,12,27090010,249,RJ,156530,136478612,70079002
2022,8,27090010,249,RJ,157044,145032096,81045698
2022,5,27090010,455,ES,155470,146503300,104395869
2022,3,27090010,245,RJ,150613,132110209,84817226
2022,10,27090010,160,SP,152283,137707410,64150608
2022,6,27090010,249,RJ,151392,133457287,89172396
2022,11,27090010,275,RJ,121314,76365895,60474449
2022,4,27090010,245,RJ,160665,145475224,90909603
2022,5,27090010,245,SP,78289,68236902,47710864
